uniprot_id,best_chain,best_structure,coverage,unp_start,unp_end,start,end,resolution
Q9ULV1,A,8wma,1.0,1,537,1,537,3.47
,A,8wm9,1.0,1,537,1,537,3.53
,A,6bd4,0.663,428,517,331,420,2.4
,A,5bpb,0.275,42,179,4,141,2.2
,C,5bqe,0.275,42,179,4,141,2.3
,B,5bpq,0.275,42,179,4,141,2.4
,A,5bqc,0.275,42,179,4,141,3.0
,B,5cm4,0.25,40,164,1,125,2.4
,B,5uwg,0.25,40,164,1,125,2.56
,A,6ne1,0.24,42,161,1,120,3.01
,D,5cl1,0.236,32,160,9,131,3.8
Q5T9L3,B,7drt,1.0,1,541,1,541,2.2
,B,8tzo,1.0,1,541,1,541,3.1
,B,7kc4,1.0,1,541,1,541,3.19
,B,8tzp,1.0,1,541,1,541,3.23
,B,8tzr,1.0,1,541,1,541,3.5
,A,8tzs,1.0,1,541,1,541,3.84
